,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,frame,pos,strain,condition,colony_id,min_dist_PA_centroid,min_dist_PA_edge2edge
0,1,703,80.08108108108108,1266.6756756756756,32.08993815829082,28.844872158159564,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,0,180.82357833938465,150.6154042586614
1,2,595,89.68571428571428,1375.1731092436976,38.67104918033441,20.792597119445155,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,1,224.70570974457684,197.99494943053472
2,3,659,102.33990895295904,1551.321699544765,32.688200370048484,26.294033296599718,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,2,106.82012031046453,87.0
3,4,153,171.2156862745098,1580.9477124183006,18.664304913402425,10.63872391416249,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,3,88.91899073394086,74.95331880577403
4,5,1185,224.0126582278481,1096.776371308017,58.26774029015284,27.003801100218258,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,4,130.91784732845392,97.51410154434076
5,6,286,232.53496503496504,1697.2412587412587,22.44305776993984,16.698108757018346,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,5,139.34453014727282,124.16923934694937
6,7,208,270.3317307692308,2004.3509615384614,19.034434238216495,14.537655235280802,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,6,320.9579098125513,306.00816982557836
7,8,363,295.41046831955924,1355.4325068870523,24.63072130822173,19.389077990418144,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,7,137.48821579662507,119.33147112141039
8,9,399,312.6591478696742,736.1453634085213,26.395195805081833,19.89758050350226,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,8,291.02954386574345,274.87451682540524
9,10,439,329.0250569476082,1785.2300683371298,30.04831638755652,23.355922949359087,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,9,241.7214582460099,218.6343980255623
10,11,758,385.93007915567284,1641.8179419525065,34.417864217170866,28.800560107589977,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,10,156.25412946324258,133.60014970051492
11,12,200,401.91,848.95,19.198094705964333,14.47423779205055,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,11,176.6271559159444,149.90663761154806
12,13,586,426.7952218430034,1181.5017064846415,35.45158526694082,22.194350526525724,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,12,176.1996310897608,151.64761785138597
13,14,519,486.0655105973025,727.7572254335261,29.210075269409135,23.014167482061172,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,13,211.63391980812116,184.0108692441835
14,15,569,499.17574692442884,671.7855887521969,31.244904162571938,24.035467992765952,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,14,158.307326741319,130.8166656049603
15,16,680,504.28970588235296,1672.2617647058823,35.525215454303265,25.04424046402969,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,15,168.78788924991176,153.0130713370593
16,17,802,545.2605985037407,1432.9675810473816,35.33605592905008,29.754027362623628,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,16,83.95617958429318,58.42088667591412
17,18,737,605.921302578019,773.7001356852103,35.49174946347259,26.664763240764174,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,17,147.07180712185274,122.3315167894194
18,19,1124,653.0596085409253,1861.0453736654804,45.360470146579985,32.23208575218634,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,18,53.11473626817466,19.1049731745428
19,20,36,655.6111111111111,2041.361111111111,18.876172403456536,2.596054335146946,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,19,99.06946786962554,85.60373823613078
20,21,813,687.3075030750307,256.8068880688807,34.64532141656108,30.264646070369075,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,20,121.71775673415611,96.25487000666512
21,22,1056,713.498106060606,1190.3702651515152,49.30075924315525,28.874582943092292,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,21,117.88269265948242,91.58602513484249
22,23,460,741.4673913043479,732.945652173913,27.184530192365617,22.278818228550993,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,22,135.16358971570062,114.43775600735974
23,24,609,755.9786535303776,449.9425287356322,36.525027839933166,22.57474655578095,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,23,94.97636751649536,76.02631123499285
24,25,840,778.3690476190476,807.8785714285714,36.50385497863799,30.851197256380203,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,24,82.59426388894477,49.49747468305833
25,26,473,803.7864693446089,623.8942917547569,33.72425169067071,19.07809536831452,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,25,89.8019871351327,68.46897107449476
26,27,197,818.8578680203045,2018.0913705583757,19.282801720891978,13.361852100689703,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,26,173.7104167957026,161.82088863926066
27,28,824,832.6638349514564,507.29247572815535,46.92014314354834,23.072344750025735,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,27,42.42088848046595,7.810249675906654
28,29,1016,863.6791338582677,1215.9852362204724,47.2587729026448,32.043722234156064,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,28,99.09755920083283,63.13477647065839
29,30,1914,903.1327063740857,571.5721003134796,65.21415594866228,45.52017603189137,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,29,109.8423758329801,78.84795495128583
30,31,1772,922.3171557562076,1153.4689616252822,77.71659445641237,34.71256414568693,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,30,110.21159541402461,70.00714249274856
31,32,451,922.5787139689579,73.49667405764967,26.815158225974766,21.87033133579046,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,31,53.36739938804438,28.0
32,33,571,941.476357267951,209.3677758318739,31.442447508271226,23.322338113185765,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,32,137.28820097681137,118.86967653695369
33,34,807,1001.8711276332094,1959.5080545229243,41.87372011395864,25.349407377969065,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,33,115.37714592921043,97.62171889492625
34,35,736,1007.085597826087,653.8057065217391,42.404317482496424,22.81447903928985,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,34,112.75326884440236,89.80534505250787
35,36,389,1047.6246786632391,1624.6015424164525,35.2979697878003,14.986353644879046,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,35,100.8509857160607,81.58431221748455
36,37,758,1063.0765171503958,288.3575197889182,39.405297932231356,24.95075459523551,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,36,229.1468464469048,209.40391591371923
37,38,459,1057.8997821350763,853.2636165577342,28.578670960334776,20.877692322660092,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,37,174.2964373129843,148.92279879185725
38,39,970,1073.7340206185568,1880.636082474227,48.07455810591074,26.827789638127737,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,38,128.5161704922376,106.4048871058092
39,40,545,1109.9155963302753,392.7651376146789,34.26543811859172,20.785728377452347,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,39,279.903366952977,248.8714527622644
40,41,405,1138.353086419753,933.8617283950617,33.91420979910013,15.944342102895844,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,40,199.43817080669223,175.34537347760278
41,42,789,1161.401774397972,792.1153358681876,40.72533088402017,25.865310902336567,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,41,141.312214390481,106.23088063270491
42,43,533,1193.016885553471,453.02251407129455,32.086498646494064,21.844350295681757,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,42,204.1101325573937,170.01176429882727
43,44,758,1198.0105540897098,497.82189973614777,35.17086354678249,28.780119095298495,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,43,159.15362552189703,120.03749414245534
44,45,928,1246.4665948275863,1686.5021551724137,57.88844705427633,21.2508687825149,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,44,72.77855224903394,55.57877292636101
45,46,772,1270.0142487046633,1306.589378238342,33.30178932444176,30.450838186374057,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,45,56.20516843489607,28.319604517012593
46,47,650,1276.8646153846155,519.1153846153846,33.115065086494745,25.701122954492682,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,46,156.58138135693443,125.39936203984452
47,48,715,1288.5524475524476,1143.032167832168,35.962982301236366,25.939827764064727,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,47,136.4278917005046,115.88356225108029
48,49,747,1317.9196787148594,26.032128514056225,41.94565441199392,23.886680961945665,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,48,148.24486167258516,124.61942063739504
49,50,938,1332.8923240938166,587.8432835820895,52.79554052887284,23.462558822321252,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,49,147.55378238259405,123.43419299367578
50,51,585,1332.396581196581,961.425641025641,31.21687367210025,24.49802411931674,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,50,43.568096790369694,24.331050121192877
51,52,507,1353.5660749506903,2030.7435897435898,29.80701203683831,23.48439665989653,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,51,248.6226087698621,223.89506470666117
52,53,539,1363.8200371057515,492.582560296846,37.72124218384511,20.316560887205608,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,52,196.90008298905673,169.7056274847714
53,54,910,1484.0472527472527,1010.6593406593406,40.036029317250325,30.377364769391864,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,53,173.59953541773982,144.91721774861674
54,55,823,1509.0109356014582,2026.7302551640341,34.876794392250744,31.61152937791642,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,54,93.16415305024383,62.80127387243033
55,56,394,1510.3350253807107,1099.9111675126903,26.823693987804653,19.183029718509417,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,55,246.86120715219695,226.92069099136816
56,57,1349,1559.371386212009,458.15492957746477,62.567960694729635,28.875894704069527,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,56,100.22563150929352,65.11528238439882
57,58,454,1588.4977973568282,870.8193832599119,29.006797419888983,20.487558541020157,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,57,85.95930321066871,67.7421582177598
58,59,1302,1631.374039938556,1133.1144393241168,61.238255312302016,31.97703815458016,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,58,151.09231354251472,122.4499897917513
59,60,1606,1633.0118306351183,587.5572851805729,56.62440195468275,39.55396952683779,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,59,194.98504315812335,156.97452022541748
60,61,681,1700.8751835535977,1252.5095447870779,32.77035218407735,27.629978320344218,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,60,195.7831153692444,169.10647533432893
