,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,frame,pos,strain,condition,colony_id,col_idx,min_dist_PA_centroid
0,1,711,130.57524613220815,754.7341772151899,33.613631674773266,27.377697314259695,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,0.0,205.45868495008153
1,2,951,207.6445846477392,188.64773922187172,48.26768469945313,26.414537104325394,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,1.0,132.5469624539933
2,3,322,207.74534161490683,1659.6645962732919,25.319870525324625,17.28222518616061,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,2.0,212.587712515412
3,4,1451,275.45968297725705,213.78980013783598,54.44001520844754,35.526459515831554,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,3.0,72.74005443288107
4,5,953,276.84470094438615,970.6044071353621,40.44762723153557,33.022997214342936,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,4.0,85.9398808841428
5,6,807,343.0619578686493,1499.9541511771995,44.446602163183876,25.273483883800274,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,5.0,79.34060350395518
6,7,1584,409.15593434343435,509.88762626262627,54.87953276864393,38.54892380401892,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,6.0,96.18161814241608
7,8,515,408.9631067961165,947.5941747572815,30.53698474443681,22.10330444276655,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,7.0,152.41218236823963
8,9,806,465.45781637717124,38.37220843672456,37.631791105457005,29.24076872757442,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,8.0,168.42119130961845
9,10,126,545.5873015873016,1903.2619047619048,19.498054019910256,8.395204259958014,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,9.0,226.0143898681609
10,11,589,580.2444821731749,397.1561969439728,32.895033446253834,23.776112314599672,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,10.0,50.04705627373909
11,12,705,598.8170212765957,223.9063829787234,36.33693226049072,26.820674698053633,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,11.0,164.11389776121754
12,13,809,663.4227441285537,1879.981458590853,40.61086496461442,28.106218062654847,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,12.0,110.47329713331078
13,14,597,666.0284757118928,224.20100502512562,32.63011893253198,25.09017913043736,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,13.0,193.63830062837923
