,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,frame,pos,strain,condition,colony_id,min_dist_PA_centroid
0,1,818,80.0635696821516,1266.7310513447433,35.04007148234316,31.224062178399027,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,0,180.8464956741455
1,2,735,89.46938775510205,1374.7537414965986,43.489829415993206,23.04631087190591,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,1,224.5468571735343
2,3,777,102.6087516087516,1551.8712998713,34.76851118647298,29.62187891520216,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,2,105.64557297947832
3,4,235,171.48510638297873,1580.6,23.340536902668376,13.144388038782878,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,3,88.52159505031013
4,5,1282,224.41653666146647,1096.7035881435258,59.64072921723776,28.77183995955912,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,4,130.95467917330078
5,6,371,232.8760107816712,1696.6415094339625,25.737648007675407,19.23339660961958,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,5,138.80875650930017
6,7,313,270.82108626198084,2003.3258785942487,24.07339088733244,17.506872119059768,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,6,106.96515398796448
7,8,433,295.65819861431874,1355.4688221709007,26.73965208519588,21.49799849229545,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,7,137.5316454449654
8,9,471,312.5774946921444,736.0573248407643,28.881101500694548,21.55723087020819,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,8,165.9114304257894
9,10,642,329.696261682243,1785.260124610592,36.56968326548886,27.993098008153037,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,9,184.5551679274968
10,11,845,386.18224852071006,1641.558579881657,35.96008482830312,31.211885862857343,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,10,145.02057819661005
11,12,312,401.84294871794873,848.7692307692307,23.165447195649243,18.3613993083917,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,11,74.65328411743485
12,13,712,427.1320224719101,1181.491573033708,38.18361063140783,25.18652571282078,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,12,176.53643360513558
13,14,550,486.2945454545455,727.7309090909091,30.175793055159303,23.777956305245887,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,13,208.5942025986935
14,15,659,499.0546282245827,671.5477996965099,34.021182986199136,25.690196267003408,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,14,157.77775000354015
15,16,797,504.31994981179423,1671.887076537014,38.22701174562062,27.461033569323536,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,15,168.59195364024035
16,17,892,545.292600896861,1432.554932735426,37.63800798216005,31.452831582241338,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,16,84.16603484113567
17,18,686,606.0743440233236,773.704081632653,34.88794313012224,25.464562622253837,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,17,146.8304748111668
18,19,1166,652.3233276157805,1860.1689536878216,47.10875745510487,32.880274290443964,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,18,55.23159364616878
19,20,81,655.1234567901234,2040.358024691358,22.880141382836257,5.08999625409823,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,19,96.20724663676307
20,21,876,687.810502283105,257.1084474885845,35.801323114227515,31.62631816348647,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,20,121.76531106890944
21,22,1166,713.0111492281303,1190.3627787307032,51.87166113061196,30.680756370084044,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,21,118.23198184180694
22,23,526,741.5342205323194,732.7851711026616,29.003244236634405,24.066793664442148,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,22,135.2015129686596
23,24,734,756.3746594005449,449.5108991825613,39.30131901524557,25.38473293856937,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,23,95.59057378395325
24,25,903,778.3455149501661,807.6677740863787,37.976877742638735,32.1132901920318,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,24,82.65743917771715
25,26,577,804.4090121317158,624.2391681109185,37.150793302752646,21.61819289591228,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,25,87.42746961901584
26,27,310,818.9290322580645,2017.5806451612905,24.451786796085003,16.78064353977152,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,26,173.20137170140745
27,28,877,832.9144811858608,507.0935005701254,48.195149767938055,24.11827697410266,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,27,49.48057594506991
28,29,1075,864.0576744186046,1215.673488372093,48.99181471991428,33.08205928333051,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,28,98.50934718703316
29,30,2060,903.9101941747572,571.3752427184467,67.53110309871852,47.48603478005042,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,29,102.15399297884032
30,31,1979,922.3956543708944,1153.6806467913088,80.1147430262817,37.205136207783085,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,30,41.28338403489432
31,32,509,922.5540275049116,73.62082514734774,28.687315886935075,23.58721768984821,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,31,53.37469122422152
32,33,594,941.6969696969696,209.38552188552188,32.34632623092982,23.79194106689234,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,32,120.16307932530673
33,34,882,1001.5668934240364,1959.2380952380952,44.698338748398704,26.655109340583586,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,33,115.09617305605616
34,35,833,1007.0708283313326,653.828331332533,44.905931260601385,24.547974011457484,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,34,101.5922596698202
35,36,449,1047.8307349665924,1623.986636971047,36.45839717766294,17.20202760679659,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,35,82.01343143539262
36,37,839,1062.6901072705602,288.5196662693683,41.72344199945187,26.23493802844858,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,36,88.35985454326932
37,38,517,1058.011605415861,853.3172147001934,30.275060214048697,22.304340827840832,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,37,174.6003228789116
38,39,1006,1074.068588469185,1879.675944333996,50.467825421521496,27.43824790495464,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,38,128.0845793041934
39,40,639,1110.0625978090766,392.86541471048514,37.21110296103589,22.670431085441237,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,39,50.31323233722894
40,41,472,1138.2584745762713,934.1292372881356,37.00691468466292,17.23711649567364,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,40,141.53766514554346
41,42,861,1161.4030197444831,792.0987224157956,42.51117393869975,27.345533869970307,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,41,141.79069738571098
42,43,600,1193.0333333333333,453.2766666666666,33.84761018026069,23.822191255134864,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,42,124.34661713521008
43,44,832,1197.8930288461538,497.8485576923077,37.73986180939537,30.118657975306277,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,43,158.60238097072005
44,45,1071,1246.8879551820728,1686.2763772175538,61.288880282296,23.42211798157069,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,44,72.35805244656483
45,46,875,1270.2537142857143,1306.4548571428572,35.6803146793706,32.598633238744114,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,45,55.880917953905495
46,47,725,1276.88,519.0620689655173,34.533015920109115,27.618799410956157,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,46,156.1878653944191
47,48,815,1288.8552147239263,1143.076073619632,38.01811151002182,28.134756491154757,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,47,79.75012202321561
48,49,824,1318.0643203883494,26.19053398058253,44.1339752810517,25.62105354612078,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,48,148.22155670246056
49,50,1014,1333.241617357002,588.1834319526628,54.84167084218933,24.69297829698256,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,49,147.48922072124435
50,51,641,1332.4867394695789,961.6084243369736,33.17415912095995,25.47670957756971,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,50,44.08432556282554
51,52,594,1353.353535353535,2029.590909090909,33.47030058168706,25.35865724130352,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,51,248.6413199657013
52,53,667,1363.4707646176912,492.599700149925,41.00935440433307,23.48964202634884,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,52,195.54243528286315
53,54,1018,1484.033398821218,1010.3251473477408,41.9506830888576,32.36266984149812,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,53,173.64434420271851
54,55,1005,1509.1850746268656,2026.1592039800996,39.83616142293314,34.13143019836567,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,54,92.8035737169897
